pet_id,pet_scientific_name,pet_vernacular_name,pet_genus,pet_family,pet_body_shape,pet_traits,pet_max_length,pet_max_weight,pet_longevity,pet_habitat,pet_temperature,pet_ph_range,pet_water_hardness,pet_tank_size,pet_migration_type,pet_danger,pet_is_native,pet_comments,pet_aquarium,pet_cost,pet_image_ref,pet_banned,pet_invasive_risk,pet_care_level,pet_diet
170t,Kinosternon creaseri,Creaser's mud turtle,Kinosternon,Kinosternidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Brown black"", ""dorsal_colour"": ""Brown"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""Brown, tan""}, ""iucn_status"": ""Least Concern (as of 2024)"", ""iucn_trend"": ""Stable""}",16.6,0.306,39.9,Forest/Shrubland/Wetlands,,,,70.0,,,Not Native,"Used as Pets/display animals, horticulture. Hidden-necked retraction mechanism. Usually exhibits Diurnal activity patterns.",,,,,,,"{""main_type"": ""Carnivorous"", ""remarks"": ""Invertebrates, Fish""}"
171t,Kinosternon dunni,Dunn's mud turtle,Kinosternon,Kinosternidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Brown, black"", ""dorsal_colour"": ""Brown"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""Grayish black""}, ""iucn_status"": ""Vulnerable (as of 2024)"", ""iucn_trend"": ""Unspecified""}",18.0,0.964,39.9,Wetlands,,,,70.0,,,Not Native,"Used as Pets/display animals, horticulture. Hidden-necked retraction mechanism. Usually exhibits Diurnal activity patterns.",,,,,,,"{""main_type"": ""Carnivorous"", ""remarks"": ""Invertebrates, Fish""}"
172t,Kinosternon durangoense,Kinosternon durangoense,Kinosternon,Kinosternidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Dark grayish"", ""dorsal_colour"": ""Brown"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""Black""}, ""iucn_status"": ""Data Deficient (as of 2024)"", ""iucn_trend"": ""Unknown""}",19.2,0.484,39.9,Wetlands,,,,80.0,,,Not Native,"Used as Pets/display animals, horticulture. Hidden-necked retraction mechanism. Usually exhibits Diurnal activity patterns.",,,,,,,"{""main_type"": ""Omnivorous"", ""remarks"": ""Invertebrates, Plants""}"
173t,Kinosternon flavescens,"Yellow mud turtle, Casquito amarillo",Kinosternon,Kinosternidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Yellow, olive color, dark brown, , black"", ""dorsal_colour"": ""Brown/Yellow"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""Yellow brown""}, ""iucn_status"": ""Least Concern (as of 2024)"", ""iucn_trend"": ""Unknown""}",16.8,0.733,40.0,Grassland/Wetlands,,,,70.0,,,Not Native,"Used as Pets/display animals, horticulture, Food - human. Hidden-necked retraction mechanism. Usually exhibits Diurnal activity patterns.",,,,,,,"{""main_type"": ""Omnivorous"", ""remarks"": ""Amphibians, Invertebrates, Fish, Plants""}"
174t,Kinosternon herrerai,"Herrera’ s mud turtle, Casquito de herrera",Kinosternon,Kinosternidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Olive color to brown"", ""dorsal_colour"": ""Brown"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""Light yellow grayish brown""}, ""iucn_status"": ""Near Threatened (as of 2024)"", ""iucn_trend"": ""Decreasing""}",17.2,0.835,19.6,Wetlands,,,,70.0,,,Not Native,"Used as Pets/display animals, horticulture. Hidden-necked retraction mechanism. Usually exhibits Cathemeral activity patterns.",,,,,,,"{""main_type"": ""Omnivorous"", ""remarks"": ""Invertebrates, Plants""}"
175t,Kinosternon hirtipes,"Rough-footed mud turtle, Rough-legged mud turtle, Casquito de pata rugosa",Kinosternon,Kinosternidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Yellow, grayish black"", ""dorsal_colour"": ""Brown"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""Yellow""}, ""iucn_status"": ""Least Concern (as of 2024)"", ""iucn_trend"": ""Decreasing""}",18.6,1.051,9.0,Wetlands,,,,70.0,,,Not Native,"Used as Pets/display animals, horticulture. Hidden-necked retraction mechanism. Usually exhibits Nocturnal activity patterns.",,,,,,,"{""main_type"": ""Carnivorous"", ""remarks"": ""Insects, Worms, And Other Small Invertebrates, Amphibians, And Small Fish""}"
176t,Kinosternon integrum,Mexican mud turtle,Kinosternon,Kinosternidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Yellow, black brown"", ""dorsal_colour"": ""Brown"", ""dorsal_pattern"": ""Blotched"", ""underside_colour"": ""Yellow""}, ""iucn_status"": ""Least Concern (as of 2024)"", ""iucn_trend"": ""Stable""}",22.3,1.567,18.6,Wetlands,,,,90.0,,,Not Native,"Used as Pets/display animals, horticulture. Hidden-necked retraction mechanism. Usually exhibits Nocturnal activity patterns.",,,,,,,"{""main_type"": ""Omnivorous"", ""remarks"": ""Invertebrates, Plants""}"
177t,Kinosternon leucostomum,Northern white-lipped mud turtle,Kinosternon,Kinosternidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Brown"", ""dorsal_colour"": ""Dark brown/Black"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""Yellow""}, ""iucn_status"": ""Least Concern (as of 2024)"", ""iucn_trend"": ""Unspecified""}",21.4,1.195,19.2,Wetlands,,,,80.0,,,Not Native,"Used as Food-human, Pets/display animals. Hidden-necked retraction mechanism. Usually exhibits Nocturnal activity patterns.",,,,,,,"{""main_type"": ""Omnivorous"", ""remarks"": ""Plant Material (Fruits, Seeds, Shoots, Leaves), Aquatic Insects, Arachnids, Crustaceans, Snails""}"
178t,Kinosternon oaxacae,Oaxaca mud turtle,Kinosternon,Kinosternidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Grayish black"", ""dorsal_colour"": ""Black/Brown"", ""dorsal_pattern"": ""Blotched"", ""underside_colour"": ""Yellow, grayish black""}, ""iucn_status"": ""Data Deficient (as of 2024)"", ""iucn_trend"": ""Unknown""}",17.5,0.882,44.7,Wetlands,,,,70.0,,,Not Native,"Used as Pets/display animals, horticulture. Hidden-necked retraction mechanism. Usually exhibits Nocturnal activity patterns.",,,,,,,"{""main_type"": ""Omnivorous"", ""remarks"": ""Amphibians, Invertebrates, Fish, Plants""}"
179t,Kinosternon scorpioides,Scorpion mud turtle,Kinosternon,Kinosternidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Light brown , darkbrown"", ""dorsal_colour"": ""Black/Brown"", ""dorsal_pattern"": ""Blotched"", ""underside_colour"": ""Yellow""}, ""iucn_status"": ""Least Concern (as of 2024)"", ""iucn_trend"": ""Unknown""}",27.0,3.458,44.8,Wetlands,,,,110.0,,,Not Native,"Used as Food-human, Pets, Medicine. Hidden-necked retraction mechanism. Usually exhibits Cathemeral activity patterns.",,,,,,,"{""main_type"": ""Omnivorous"", ""remarks"": ""Amphibians, Invertebrates, Fish, Plants""}"
180t,Kinosternon sonoriense,"Sonora mud turtle, Casquito de sonora",Kinosternon,Kinosternidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Olive color to dark brown"", ""dorsal_colour"": ""Brown"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""Yellow to  brown""}, ""iucn_status"": ""Near Threatened (as of 2024)"", ""iucn_trend"": ""Unknown""}",17.5,0.882,40.0,Shrubland/Wetlands,,,,70.0,,,Not Native,"Used as Pets/display animals, horticulture. Hidden-necked retraction mechanism. Usually exhibits Diurnal activity patterns.",,,,,,,"{""main_type"": ""Omnivorous"", ""remarks"": ""Snails, Fish, Frogs, Snakes, Crayfish, And A Large Variety Of Aquatic And Semi-Aquatic Insects,Angiosperms And Chlorophyta""}"
181t,Kinosternon steindachneri,Florida mud turtle,Kinosternon,Kinosternidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Black"", ""dorsal_colour"": ""Black/Dark brown"", ""dorsal_pattern"": ""Striped"", ""underside_colour"": ""White, brown""}, ""iucn_status"": ""Data Deficient (as of 2024)"", ""iucn_trend"": ""Decreasing""}",12.5,0.194622728709499,10.0,Wetlands,,,,50.0,,,Not Native,Used as Null. Hidden-necked retraction mechanism. Usually exhibits Diurnal activity patterns.,,,,,,,"{""main_type"": ""Omnivorous"", ""remarks"": ""Invertebrates, Fish, Amphibians, Plants, and Carrion/Scavenged material.""}"
182t,Kinosternon stejnegeri,Arizona mud turtle,Kinosternon,Kinosternidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Olive color, dark grayish"", ""dorsal_colour"": ""Brown"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""Yellow""}, ""iucn_status"": ""Near Threatened (as of 2024)"", ""iucn_trend"": ""Decreasing""}",18.130000000000003,0.36197066404780703,25.0,Desert,,,,70.0,,,Not Native,Used as Null. Hidden-necked retraction mechanism. Usually exhibits Diurnal activity patterns.,,,,,,,"{""main_type"": ""Carnivorous"", ""remarks"": ""Amphibians, Invertebrates""}"
183t,Kinosternon subrubrum,Common mud turtle,Kinosternon,Kinosternidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Olive color, dark brown"", ""dorsal_colour"": ""Black/Yellow"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""Yellow to  brown""}, ""iucn_status"": ""Least Concern (as of 2024)"", ""iucn_trend"": ""Unknown""}",12.5,0.306,50.0,Wetlands,,,,50.0,,,Not Native,"Used as Pets/display animals, horticulture. Hidden-necked retraction mechanism. Usually exhibits Diurnal activity patterns.",,,,,,,"{""main_type"": ""Omnivorous"", ""remarks"": ""Amphibians, Invertebrates, Plants""}"
184t,Kinosternon vogti,Vallarta mud turtle,Kinosternon,Kinosternidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Olive color, dark grayish"", ""dorsal_colour"": ""Brown"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""Orange yellow, brown""}, ""iucn_status"": ""Critically Endangered (as of 2024)"", ""iucn_trend"": ""Decreasing""}",10.2,0.195,,Wetlands,,,,40.0,,,Not Native,"Used as Pets/display animals, horticulture. Hidden-necked retraction mechanism. Usually exhibits Nocturnal activity patterns.",,,,,,,"{""main_type"": ""Omnivorous"", ""remarks"": ""Worms, crickets, small fish, leafy greens, and commercial pellets""}"
185t,Lepidochelys kempii,Kemp's ridley,Lepidochelys,Cheloniidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 1, ""no_of_toes_hind"": 1}}","{""turtle"": {""carapace_colour"": ""Light grayish"", ""dorsal_colour"": ""Gray/Yellow"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""White""}, ""iucn_status"": ""Critically Endangered (as of 2024)"", ""iucn_trend"": ""Unknown""}",76.0,92.4,76.0,Marine Neritic,,,,300.0,,,Not Native,Used as Food - human. Hidden-necked retraction mechanism. Usually exhibits Diurnal activity patterns.,,,,,,,"{""main_type"": ""Omnivorous"", ""remarks"": ""Invertebrates, Fish, Plants""}"
186t,Lepidochelys olivacea,"Olive ridley, Olive ridley sea turtle, Pacific ridley",Lepidochelys,Cheloniidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 2, ""no_of_toes_hind"": 2}}","{""turtle"": {""carapace_colour"": ""Olive color,grayish green"", ""dorsal_colour"": ""Brown/Yellow"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""Green, yellow, white""}, ""iucn_status"": ""Vulnerable (as of 2024)"", ""iucn_trend"": ""Decreasing""}",79.3,45.0,76.0,Marine Neritic,,,,310.0,,,Native,"Used as Food - human, Food - animal. Hidden-necked retraction mechanism. Usually exhibits Diurnal activity patterns.",,,,,,,"{""main_type"": ""Omnivorous"", ""remarks"": ""Invertebrates, Fish""}"
187t,Leucocephalon yuwonoi,Sulawesi forest turtle,Leucocephalon,Geoemydidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Orange to brown"", ""dorsal_colour"": ""orange-brown"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""Light yellow or yellowish brown""}, ""iucn_status"": ""Critically Endangered (as of 2024)"", ""iucn_trend"": ""Decreasing""}",30.0,3.767,,Forest/Wetlands,,,,120.0,,,Not Native,"Used as Pets/display animals, horticulture. Hidden-necked retraction mechanism. Usually exhibits Diurnal; Some activity both day and night activity patterns.",,,,,,,"{""main_type"": ""Herbivorous"", ""remarks"": ""Mostly herbivorous as adults;juveniles eat some insects""}"
188t,Lissemys ceylonensis,Sri lankan flapshell turtle,Lissemys,Trionychidae,"{""turtle"": {""shell_type"": ""Softshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Graphite black"", ""dorsal_colour"": ""Graphite black"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""White, meat pink""}, ""iucn_status"": ""Vulnerable (as of 2024)"", ""iucn_trend"": ""Decreasing""}",37.0,9.34040750166756,19.0,Forest/Wetlands,,,,150.0,,,Not Native,"Used as Food - human, Medicine - human & veterinary. Hidden-necked retraction mechanism. Usually exhibits Nocturnal activity patterns.",,,,,,,"{""main_type"": ""Omnivorous"", ""remarks"": ""Omnivorous,tending toward carnivory;mollusks,fish,amphibians,crustaceans,snails,and insects.plants;seeds,flowers,stems,and leaves.cannibalism has also been reported.""}"
189t,Lissemys punctata,Indian flapshell turtle,Lissemys,Trionychidae,"{""turtle"": {""shell_type"": ""Softshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Olive green to black"", ""dorsal_colour"": ""Brown"", ""dorsal_pattern"": ""Blotched"", ""underside_colour"": ""White, grey""}, ""iucn_status"": ""Vulnerable (as of 2024)"", ""iucn_trend"": ""Decreasing""}",37.0,7.0,17.8,Wetlands,,,,150.0,,,Not Native,"Used as Food - human, Pets/display animals, horticulture. Hidden-necked retraction mechanism. Usually exhibits Nocturnal activity patterns.",,,,,,,"{""main_type"": ""Omnivorous"", ""remarks"": ""Omnivorous,primarily fish but aquantic plants,including nuts and fruits of trees growing alongside river system""}"
190t,Lissemys scutata,Burmese flapshell turtle,Lissemys,Trionychidae,"{""turtle"": {""shell_type"": ""Softshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Black"", ""dorsal_colour"": ""Brown/Yellow"", ""dorsal_pattern"": ""Blotched"", ""underside_colour"": ""White,  light brown""}, ""iucn_status"": ""Least Concern (as of 2024)"", ""iucn_trend"": ""Stable""}",37.0,4.06454697293938,17.8,Wetlands,,,,150.0,,,Not Native,Used as Food - human. Hidden-necked retraction mechanism. Usually exhibits Nocturnal activity patterns.,,,,,,,"{""main_type"": ""Carnivorous"", ""remarks"": ""Fish, Shrimp, Crickets""}"
191t,Macrochelys suwanniensis,Suwannee alligator snapping turtle,Macrochelys,Chelydridae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Yellow, brown"", ""dorsal_colour"": ""Yellow, brown"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""Yellow""}, ""iucn_status"": ""Vulnerable (as of 2024)"", ""iucn_trend"": ""Decreasing""}",80.1,54.4,,Wetlands,,,,320.0,,,Not Native,Used as Null. Hidden-necked retraction mechanism. Usually exhibits Diurnal and nocturnal activity patterns.,,,,,,,"{""main_type"": ""Omnivorous"", ""remarks"": ""Omnivorous,primarily fish but aquantic plants,including nuts and fruits of trees growing alongside river system""}"
192t,Macrochelys temminckii,Alligator snapping turtle,Macrochelys,Chelydridae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Tan"", ""dorsal_colour"": ""Black/Brown/Gray/Green"", ""dorsal_pattern"": ""Blotched/uniform"", ""underside_colour"": ""White""}, ""iucn_status"": ""Vulnerable (as of 2024)"", ""iucn_trend"": ""Unspecified""}",80.8,113.0,80.0,Wetlands,,,,320.0,,,Not Native,Used as Null. Hidden-necked retraction mechanism. Usually exhibits Cathemeral activity patterns.,,,,,,,"{""main_type"": ""Carnivorous"", ""remarks"": ""Amphibians, Birds, Invertebrates, Fish, Mammals""}"
193t,Malaclemys terrapin,Diamondback terrapin,Malaclemys,Emydidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Black, brown, grayish , olive color"", ""dorsal_colour"": ""Black/Brown/Gray/Yellow"", ""dorsal_pattern"": ""Blotched"", ""underside_colour"": ""Yellow""}, ""iucn_status"": ""Vulnerable (as of 2024)"", ""iucn_trend"": ""Decreasing""}",32.0,1.599,40.0,Marine Neritic,,,,130.0,,,Not Native,Used as Food - human. Hidden-necked retraction mechanism. Usually exhibits Diurnal activity patterns.,,,,,,,"{""main_type"": ""Omnivorous"", ""remarks"": ""Conches, Clams And Worms""}"
194t,Malacochersus tornieri,Pancake tortoise,Malacochersus,Testudinidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Brown"", ""dorsal_colour"": ""Brown"", ""dorsal_pattern"": ""Blotched"", ""underside_colour"": ""Yellow""}, ""iucn_status"": ""Critically Endangered (as of 2024)"", ""iucn_trend"": ""Decreasing""}",18.0,1.229,25.9,Grassland/Rocky/Savanna/Shrubland,,,,70.0,,,Not Native,"Used as Pets/display animals, horticulture, Food - human. Hidden-necked retraction mechanism. Usually exhibits Cathemeral activity patterns.",,,,,,,"{""main_type"": ""Herbivorous"", ""remarks"": ""Plants""}"
195t,Malayemys khoratensis,Khorat snail-eating turtle,Malayemys,Geoemydidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Brown black"", ""dorsal_colour"": ""Brown"", ""dorsal_pattern"": ""Blotched"", ""underside_colour"": ""Yellow, black""}, ""iucn_status"": ""Least Concern (as of 2024)"", ""iucn_trend"": ""Unknown""}",20.6,1.83468308527291,,Wetlands,,,,80.0,,,Not Native,Used as Other (free text). Hidden-necked retraction mechanism. Usually exhibits Diurnal activity patterns.,,,,,,,"{""main_type"": ""Carnivorous"", ""remarks"": ""Carnivourous on snails,insects,mussels,worms,and shrimp""}"
196t,Malayemys macrocephala,Malayan snail-eating turtle,Malayemys,Geoemydidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Brown"", ""dorsal_colour"": ""Black/Brown"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""Yellow""}, ""iucn_status"": ""Least Concern (as of 2024)"", ""iucn_trend"": ""Stable""}",23.0,3.23954118762114,14.2,Wetlands,,,,90.0,,,Native,Used as Other (free text). Hidden-necked retraction mechanism. Usually exhibits Diurnal activity patterns.,,,,,,,"{""main_type"": ""Carnivorous"", ""remarks"": ""Invertebrates""}"
197t,Malayemys subtrijuga,Mekong snail-eating turtle,Malayemys,Geoemydidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Brown black"", ""dorsal_colour"": ""Brown"", ""dorsal_pattern"": ""Blotched"", ""underside_colour"": ""Light yellow""}, ""iucn_status"": ""Near Threatened (as of 2024)"", ""iucn_trend"": ""Decreasing""}",23.7,3.65565166350477,14.2,Wetlands,,,,90.0,,,Not Native,"Used as Food - human, Pets/display animals, horticulture. Hidden-necked retraction mechanism. Usually exhibits Cathemeral activity patterns.",,,,,,,"{""main_type"": ""Carnivorous"", ""remarks"": ""Snails, Small Fish, Earthworms, Worms And Crustaceans""}"
198t,Manouria emys,Asian giant tortoise,Manouria,Testudinidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Dark brown to black"", ""dorsal_colour"": ""Black/Brown"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""Yellow to brown""}, ""iucn_status"": ""Critically Endangered (as of 2024)"", ""iucn_trend"": ""Decreasing""}",61.0,33.276,19.9,Wetlands,,,,240.0,,,Native,"Used as Pets/display animals, horticulture, Food - human. Hidden-necked retraction mechanism. Usually exhibits Crepuscular activity patterns.",,,,,,,"{""main_type"": ""Herbivorous"", ""remarks"": ""Plants""}"
199t,Manouria impressa,Impressed tortoise,Manouria,Testudinidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Yellowish brown"", ""dorsal_colour"": ""Brown/Yellow"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""Yellowish brown""}, ""iucn_status"": ""Endangered (as of 2024)"", ""iucn_trend"": ""Decreasing""}",35.9,7.599,35.0,Forest,,,,140.0,,,Native,"Used as Food - human, Pets/display animals, horticulture. Hidden-necked retraction mechanism. Usually exhibits Crepuscular activity patterns.",,,,,,,"{""main_type"": ""Herbivorous"", ""remarks"": ""Plants""}"
200t,Mauremys annamensis,Vietnamese pond turtle,Mauremys,Geoemydidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Black brown"", ""dorsal_colour"": ""Orange/Yellow"", ""dorsal_pattern"": ""Blotched"", ""underside_colour"": ""Yellow""}, ""iucn_status"": ""Critically Endangered (as of 2024)"", ""iucn_trend"": ""Decreasing""}",28.5,3.263,23.9,Wetlands,,,,110.0,,,Not Native,"Used as Pets/display animals, horticulture, Establishing ex-situ production , Food - human, Medicine - human & veterinary. Hidden-necked retraction mechanism. Usually exhibits Nocturnal activity patterns.",,,,,,,"{""main_type"": ""Omnivorous"", ""remarks"": ""Fruit, Fish And Shrimp""}"
201t,Mauremys caspica,"Caspian t urtle, caspian terrapin",Mauremys,Geoemydidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Light brown to olive color,black brown"", ""dorsal_colour"": ""Black/Brown"", ""dorsal_pattern"": ""Blotched"", ""underside_colour"": ""Yellow, brown""}, ""iucn_status"": ""Not Evaluated (as of 2024)"", ""iucn_trend"": ""Not Evaluated""}",25.0,2.261,24.0,Wetlands,,,,100.0,,,Not Native,Used as Null. Hidden-necked retraction mechanism. Usually exhibits Diurnal activity patterns.,,,,,,,"{""main_type"": ""Omnivorous"", ""remarks"": ""Amphibians, Invertebrates, Plants""}"
202t,Mauremys japonica,Japanese pond turtle,Mauremys,Geoemydidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Brown , dark"", ""dorsal_colour"": ""Brown"", ""dorsal_pattern"": ""Blotched"", ""underside_colour"": ""Brown black""}, ""iucn_status"": ""Near Threatened (as of 2024)"", ""iucn_trend"": ""Unspecified""}",21.0,2.261,16.2,Wetlands,,,,80.0,,,Not Native,Used as Null. Hidden-necked retraction mechanism. Usually exhibits Diurnal activity patterns.,,,,,,,"{""main_type"": ""Omnivorous"", ""remarks"": ""Amphibians, Invertebrates, Plants""}"
203t,Mauremys leprosa,"Mediterranean pond turtle, Spanish terrapin, Mediterranean stripe-necked terrapin",Mauremys,Geoemydidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Brown, brown black"", ""dorsal_colour"": ""Brown"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""Grayish white, yellow""}, ""iucn_status"": ""Near Threatened (as of 2024)"", ""iucn_trend"": ""Unspecified""}",25.0,2.261,24.6,Wetlands,,,,100.0,,,Not Native,Used as Null. Hidden-necked retraction mechanism. Usually exhibits Cathemeral activity patterns.,,,,,,,"{""main_type"": ""Omnivorous"", ""remarks"": ""Amphibians, Invertebrates, Plants""}"
204t,Mauremys mutica,Yellow pond turtle,Mauremys,Geoemydidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Tan"", ""dorsal_colour"": ""Brown"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""Yellow, black""}, ""iucn_status"": ""Critically Endangered (as of 2024)"", ""iucn_trend"": ""Decreasing""}",20.0,1.21,22.1,Forest/Shrubland/Wetlands,,,,80.0,,,Not Native,"Used as Food - human, Establishing ex-situ production. Hidden-necked retraction mechanism. Usually exhibits Nocturnal activity patterns.",,,,,,,"{""main_type"": ""Omnivorous"", ""remarks"": ""Amphibians, Invertebrates, Fish, Plants""}"
205t,Mauremys nigricans,"Chinese red-necked turtle, Red-necked pond turtle",Mauremys,Geoemydidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Black"", ""dorsal_colour"": ""Brown"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""Black""}, ""iucn_status"": ""Endangered (as of 2024)"", ""iucn_trend"": ""Unspecified""}",29.8,2.775,18.0,Wetlands,,,,120.0,,,Not Native,Used as Null. Hidden-necked retraction mechanism. Usually exhibits Cathemeral activity patterns.,,,,,,,"{""main_type"": ""Omnivorous"", ""remarks"": ""Amphibians, Invertebrates, Plants""}"
