pet_id,pet_scientific_name,pet_vernacular_name,pet_genus,pet_family,pet_body_shape,pet_traits,pet_max_length,pet_max_weight,pet_longevity,pet_habitat,pet_temperature,pet_ph_range,pet_water_hardness,pet_tank_size,pet_migration_type,pet_danger,pet_is_native,pet_comments,pet_aquarium,pet_cost,pet_image_ref,pet_banned,pet_invasive_risk,pet_care_level,pet_diet
125t,Gopherus evgoodei,Sinaloan thornscrub tortoise,Gopherus,Testudinidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Tan to dark grayish"", ""dorsal_colour"": ""Brown"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""Brown yellow""}, ""iucn_status"": ""Vulnerable (as of 2024)"", ""iucn_trend"": ""Decreasing""}",39.1,1.1603234599327,4.8,Forest/Shrubland,,,,150.0,,,Not Native,"Used as Pets/display animals, horticulture, Food - human. Hidden-necked retraction mechanism. Usually exhibits Diurnal activity patterns.",,,,,,,"{""main_type"": ""Herbivorous"", ""remarks"": ""Leaves, Bark, Stems, Fruits, And/Or Flowers Of Trees, Shrubs, Woody Vines, Succulents, Perennial And Annual Grasses, Herbaceous Perennials, And Annuals""}"
126t,Gopherus flavomarginatus,Bolson tortoise,Gopherus,Testudinidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Khaki"", ""dorsal_colour"": ""Brown"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""Khaki""}, ""iucn_status"": ""Critically Endangered (as of 2024)"", ""iucn_trend"": ""Decreasing""}",46.0,10.956,15.8,Desert/Shrubland,,,,180.0,,,Not Native,"Used as Pets/display animals, horticulture. Hidden-necked retraction mechanism. Usually exhibits Diurnal activity patterns.",,,,,,,"{""main_type"": ""Herbivorous"", ""remarks"": ""Leaves, Bark, Stems, Fruits, And/Or Flowers Of Trees, Shrubs, Woody Vines, Succulents, Perennial And Annual Grasses, Herbaceous Perennials, And Annuals""}"
127t,Gopherus morafkai,"Sonoran desert tortoise, Morafka’s desert tortoise",Gopherus,Testudinidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Brown , grayish brown"", ""dorsal_colour"": ""Brown/Grayish brown/Greenish tan"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""Tan or yellow""}, ""iucn_status"": ""Vulnerable (as of 2024)"", ""iucn_trend"": ""Decreasing""}",32.2,4.936,80.0,Desert/Shrubland,,,,130.0,,,Not Native,"Used as Food-human, Pets. Hidden-necked retraction mechanism. Usually exhibits Nocturnal activity patterns.",,,,,,,"{""main_type"": ""Herbivorous"", ""remarks"": ""Leaves, Bark, Stems, Fruits, And/Or Flowers Of Trees, Shrubs, Woody Vines, Succulents, Perennial And Annual Grasses, Herbaceous Perennials, And Annuals""}"
128t,Gopherus polyphemus,Gopher tortoise,Gopherus,Testudinidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Yellow, light brown , dark brown, grayish black"", ""dorsal_colour"": ""Black/Brown/Gray"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""Yellow""}, ""iucn_status"": ""Vulnerable (as of 2024)"", ""iucn_trend"": ""Unspecified""}",44.0,10.008,60.0,Desert/Shrubland,,,,170.0,,,Not Native,"Used as Food-human, Pets. Hidden-necked retraction mechanism. Usually exhibits Diurnal activity patterns.",,,,,,,"{""main_type"": ""Herbivorous"", ""remarks"": ""Leaves, Bark, Stems, Fruits, And/Or Flowers Of Trees, Shrubs, Woody Vines, Succulents, Perennial And Annual Grasses, Herbaceous Perennials, And Annuals""}"
129t,Graptemys barbouri,Barbour's map turtle,Graptemys,Emydidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Olive color to brown"", ""dorsal_colour"": ""Black"", ""dorsal_pattern"": ""Blotched"", ""underside_colour"": ""Light yellow""}, ""iucn_status"": ""Vulnerable (as of 2024)"", ""iucn_trend"": ""Decreasing""}",33.0,4.269,31.7,Wetlands,,,,130.0,,,Not Native,"Used as Pets/display animals, horticulture, Food - human. Hidden-necked retraction mechanism. Usually exhibits Diurnal activity patterns.",,,,,,,"{""main_type"": ""Omnivorous"", ""remarks"": ""Most species are omnivores;typical foods include insects,worms,fish,aquatic vegetation;species with broader jaws also consume mollusk and snails""}"
130t,Graptemys caglei,Cagle's map turtle,Graptemys,Emydidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Olive color to green brown"", ""dorsal_colour"": ""Brown"", ""dorsal_pattern"": ""Blotched"", ""underside_colour"": ""Light yellow""}, ""iucn_status"": ""Endangered (as of 2024)"", ""iucn_trend"": ""Decreasing""}",21.3,1.81514604676703,14.5,Wetlands,,,,80.0,,,Not Native,"Used as Pets/display animals, horticulture, Establishing ex-situ production. Hidden-necked retraction mechanism. Usually exhibits Diurnal activity patterns.",,,,,,,"{""main_type"": ""Carnivorous"", ""remarks"": ""Invertebrates""}"
131t,Graptemys ernsti,Escambia map turtle,Graptemys,Emydidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Tan, brown"", ""dorsal_colour"": ""Brown/Green"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""Yellow""}, ""iucn_status"": ""Near Threatened (as of 2024)"", ""iucn_trend"": ""Decreasing""}",28.5,2.865,20.1,Wetlands,,,,110.0,,,Not Native,"Used as Pets/display animals, horticulture, Establishing ex-situ production. Hidden-necked retraction mechanism. Usually exhibits Diurnal activity patterns.",,,,,,,"{""main_type"": ""Carnivorous"", ""remarks"": ""Invertebrates""}"
132t,Graptemys flavimaculata,Yellow blotched sawback,Graptemys,Emydidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Olive color to dark brown"", ""dorsal_colour"": ""Brown"", ""dorsal_pattern"": ""Blotched"", ""underside_colour"": ""Yellow""}, ""iucn_status"": ""Vulnerable (as of 2024)"", ""iucn_trend"": ""Decreasing""}",22.3,1.495,9.0,Wetlands,,,,90.0,,,Not Native,"Used as Pets/display animals, horticulture. Hidden-necked retraction mechanism. Usually exhibits Diurnal activity patterns.",,,,,,,"{""main_type"": ""Omnivorous"", ""remarks"": ""Invertebrates, Fish, Plants""}"
133t,Graptemys geographica,Northern map turtle,Graptemys,Emydidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Olive color to brown"", ""dorsal_colour"": ""Brown/Yellow"", ""dorsal_pattern"": ""Blotched"", ""underside_colour"": ""Yellow""}, ""iucn_status"": ""Least Concern (as of 2024)"", ""iucn_trend"": ""Stable""}",29.2,2.473,20.0,Wetlands,,,,110.0,,,Not Native,"Used as Pets/display animals, horticulture, Food - human. Hidden-necked retraction mechanism. Usually exhibits Diurnal activity patterns.",,,,,,,"{""main_type"": ""Carnivorous"", ""remarks"": ""Insects, Freshwater Clams, Snails And Aquatic Plants""}"
134t,Graptemys gibbonsi,Pascagoula map turtle,Graptemys,Emydidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Olive brown"", ""dorsal_colour"": ""Brown/Green"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""Yellow""}, ""iucn_status"": ""Endangered (as of 2024)"", ""iucn_trend"": ""Decreasing""}",29.5,3.15,36.9,Wetlands,,,,120.0,,,Not Native,"Used as Pets/display animals, horticulture. Hidden-necked retraction mechanism. Usually exhibits Diurnal activity patterns.",,,,,,,"{""main_type"": ""Carnivorous"", ""remarks"": ""Fish, Insects, Crustaceans And Shellfish""}"
