Order,Family,Species,"FishBase name",Occurrence,"Name(s) in Territory",Pictures
Kurtiformes,Apogonidae,"Jaydia ellioti","Flag-in cardinal-fish",native,"Malay : Sebekah sinar","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Apell_u0.jpg"", ""Open image"")"
Kurtiformes,Apogonidae,"Jaydia lineata","Indian perch",native,"Malay : Sebekah belang","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Aplin_u0.jpg"", ""Open image"")"
Eupercaria/misc,Sciaenidae,"Johnius amblycephalus","Bearded croaker",native,"Malay : Gelama-janggut tumpul","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Joamb_u0.jpg"", ""Open image"")"
Eupercaria/misc,Sciaenidae,"Johnius belangerii","Belanger's croaker",native,"Malay : Gelama birai","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Jobel_u3.jpg"", ""Open image"")"
Eupercaria/misc,Sciaenidae,"Johnius borneensis","Sharpnose hammer croaker",native,"Malay : Gelama tukul","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Jobor_u4.jpg"", ""Open image"")"
Eupercaria/misc,Sciaenidae,"Johnius cantori",,native,,"No picture yet."
Eupercaria/misc,Sciaenidae,"Johnius carouna","Caroun croaker",native,"Malay : Gelama bakau","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Jocar_u0.jpg"", ""Open image"")"
Eupercaria/misc,Sciaenidae,"Johnius carutta","Karut croaker",native,"Malay : Gelama karut","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Jocar_u2.jpg"", ""Open image"")"
Eupercaria/misc,Sciaenidae,"Johnius coitor","Coitor croaker",native,"Malay : Gelama Borneo","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Jocoi_u0.jpg"", ""Open image"")"
Eupercaria/misc,Sciaenidae,"Johnius dussumieri","Sin croaker",native,"Malay : Gelama keeling","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Jodus_u1.jpg"", ""Open image"")"
Eupercaria/misc,Sciaenidae,"Johnius heterolepis","Large-scale croaker",native,"Malay : Gelama sisik","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Johet_u0.jpg"", ""Open image"")"
Eupercaria/misc,Sciaenidae,"Johnius macropterus","Largefin croaker",native,"Malay : Gelama-janggut sirip","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Jomac_u0.jpg"", ""Open image"")"
Eupercaria/misc,Sciaenidae,"Johnius macrorhynus","Big-snout croaker",native,"Malay : Gelama kepak kuning","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Jomac_u1.jpg"", ""Open image"")"
Eupercaria/misc,Sciaenidae,"Johnius plagiostoma","Large-eye croaker",native,"Malay : Gelama mata besar","No picture yet."
Eupercaria/misc,Sciaenidae,"Johnius sasakii",,native,,"No picture yet."
Eupercaria/misc,Sciaenidae,"Johnius trachycephalus","Leaftail croaker",native,"Malay : Gelama ekor daun","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Jotra_u0.jpg"", ""Open image"")"
Eupercaria/misc,Sciaenidae,"Johnius weberi","Weber's croaker",native,"Malay : Gelama Siam","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Joweb_u0.jpg"", ""Open image"")"
Carangiformes,Carangidae,"Kaiwarinus equula","Whitefin trevally",native,"Malay : Demudok sirip putih","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Caequ_u3.jpg"", ""Open image"")"
Carangiformes,Istiophoridae,"Kajikia audax","Striped marlin",native,"Malay : Mersuji tahil","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Teaud_u3.jpg"", ""Open image"")"
Acanthuriformes,Leiognathidae,"Karalla daura","Goldstripe ponyfish",native,"Malay : Kekek jalur","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Ledau_u0.jpg"", ""Open image"")"
Cypriniformes,Gastromyzontidae,"Katibasia insidiosa",,native,,"No picture yet."
Scombriformes,Scombridae,"Katsuwonus pelamis","Skipjack tuna",native,"Malay : Aya Jepun","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Kapel_m0.jpg"", ""Open image"")"
Siluriformes,Ariidae,"Ketengus typus","Bigmouth sea catfish",native,"Malay : Duri kuning","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Ketyp_u0.jpg"", ""Open image"")"
Cypriniformes,Danionidae,"Kottelatia brittani",,native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Rabri_u0.jpg"", ""Open image"")"
Cypriniformes,Cobitidae,"Kottelatlimia hipporhynchos",,native,,"No picture yet."
Cypriniformes,Cobitidae,"Kottelatlimia katik",,native,,"No picture yet."
Cypriniformes,Cobitidae,"Kottelatlimia pristes",,native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Lepri_u0.jpg"", ""Open image"")"
Gobiiformes,Gobiidae,"Koumansetta hectori","Hector's goby",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Amhec_u1.jpg"", ""Open image"")"
Siluriformes,Siluridae,"Kryptopterus baramensis",,native,,"No picture yet."
Siluriformes,Siluridae,"Kryptopterus bicirrhis","Glass catfish",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/gif/tn_Krbic_u0.gif"", ""Open image"")"
Siluriformes,Siluridae,"Kryptopterus cryptopterus",,native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Krcry_u1.jpg"", ""Open image"")"
Siluriformes,Siluridae,"Kryptopterus lais",,native,,"No picture yet."
Siluriformes,Siluridae,"Kryptopterus limpok","Long-barbel sheatfish",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Krlim_u0.jpg"", ""Open image"")"
Siluriformes,Siluridae,"Kryptopterus macrocephalus","Striped glass catfish",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Krmac_u0.jpg"", ""Open image"")"
Siluriformes,Siluridae,"Kryptopterus sabanus",,native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/gif/tn_Omsab_u0.gif"", ""Open image"")"
Perciformes/Scorpaenoidei,Platycephalidae,"Kumococius rodericensis","Spiny flathead",native,"Malay : Baji duri","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Kurod_u0.jpg"", ""Open image"")"
Siluriformes,Ariidae,"Kyataphisa caelata","Engraved catfish",native,"Malay : Duri lorek","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Necae_u0.jpg"", ""Open image"")"
Centrarchiformes,Kyphosidae,"Kyphosus cinerascens","Blue sea chub",native,"Malay : Beras biru","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Kycin_u7.jpg"", ""Open image"")"
Centrarchiformes,Kyphosidae,"Kyphosus vaigiensis","Brassy chub",native,"Malay : Beras perak","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Kyvai_u6.jpg"", ""Open image"")"
Cypriniformes,Cyprinidae,"Labeo catla",Catla,introduced,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Cacat_u8.jpg"", ""Open image"")"
Cypriniformes,Cyprinidae,"Labeo chrysophekadion","Black sharkminnow",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Lachr_u0.jpg"", ""Open image"")"
Cypriniformes,Cyprinidae,"Labiobarbus fasciatus",,native,,"No picture yet."
Cypriniformes,Cyprinidae,"Labiobarbus festivus","Signal barb",native,,"No picture yet."
Cypriniformes,Cyprinidae,"Labiobarbus leptocheilus",,native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Lalep_u0.jpg"", ""Open image"")"
Cypriniformes,Cyprinidae,"Labiobarbus ocellatus",,native,,"No picture yet."
Cypriniformes,Cyprinidae,"Labiobarbus sabanus",,endemic,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Lasab_u1.jpg"", ""Open image"")"
Eupercaria/misc,Labridae,"Labroides dimidiatus","Bluestreak cleaner wrasse",native,"Malay : Nuri jalur tajam","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Ladim_uc.jpg"", ""Open image"")"
Carangaria/misc,Lactariidae,"Lactarius lactarius","False trevally",native,"Malay : Shrumbu","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Lalac_u1.jpg"", ""Open image"")"
Tetraodontiformes,Ostraciidae,"Lactoria cornuta","Longhorn cowfish",native,"Malay : Kaban tanduk","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Lacor_u8.jpg"", ""Open image"")"
Tetraodontiformes,Tetraodontidae,"Lagocephalus lunaris","Lunartail puffer",native,"Malay : Buntal-pisang kasar","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Lalun_u3.jpg"", ""Open image"")"
Tetraodontiformes,Tetraodontidae,"Lagocephalus sceleratus","Silver-cheeked toadfish",native,"Malay : Buntal-pisang kerisi","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Lasce_u5.jpg"", ""Open image"")"
Tetraodontiformes,Tetraodontidae,"Lagocephalus spadiceus","Half-smooth golden pufferfish",native,"Malay : Buntal-pisang muda","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Laspa_u2.jpg"", ""Open image"")"
Siluriformes,Ailiidae,"Laides hexanema",,native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/gif/tn_Lahex_u0.gif"", ""Open image"")"
Carcharhiniformes,Carcharhinidae,"Lamiopsis tephrodes",,native,,"No picture yet."
Carangaria/misc,Latidae,"Lates calcarifer",Barramundi,native,"Malay : Siakap putih","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Lacal_ue.jpg"", ""Open image"")"
Cypriniformes,Danionidae,"Laubuka laubuca","Indian glass barb",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Chlau_u0.jpg"", ""Open image"")"
Siluriformes,Bagridae,"Leiocassis collina",,native,,"No picture yet."
Siluriformes,Bagridae,"Leiocassis doriae",,endemic,,"No picture yet."
Siluriformes,Bagridae,"Leiocassis hosii",,native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Lehos_u1.jpg"", ""Open image"")"
Siluriformes,Bagridae,"Leiocassis micropogon",,native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Lemic_ug.jpg"", ""Open image"")"
Siluriformes,Bagridae,"Leiocassis poeciloptera",,native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Lepoe_u0.jpg"", ""Open image"")"
Siluriformes,Bagridae,"Leiocassis saravacensis",,native,,"No picture yet."
Acanthuriformes,Leiognathidae,"Leiognathus brevirostris","Shortnose ponyfish",native,"Malay : Kekek muncung pendek","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Lebre_u3.jpg"", ""Open image"")"
Acanthuriformes,Leiognathidae,"Leiognathus equula","Common ponyfish",native,"Malay : Kekek gedabang","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Leequ_u6.jpg"", ""Open image"")"
Cypriniformes,Cobitidae,"Lepidocephalichthys berdmorei","Burmese loach",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Leber_u4.jpg"", ""Open image"")"
Cypriniformes,Cobitidae,"Lepidocephalichthys birmanicus",,native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/gif/tn_Lebir_u0.gif"", ""Open image"")"
Cypriniformes,Cobitidae,"Lepidocephalichthys hasselti",,native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Lehas_u0.jpg"", ""Open image"")"
Cypriniformes,Cobitidae,"Lepidocephalus macrochir",,native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Lemac_u9.jpg"", ""Open image"")"
Perciformes/Scorpaenoidei,Triglidae,"Lepidotrigla japonica",,native,"English : Gurnard","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Lejap_u3.jpg"", ""Open image"")"
Perciformes/Scorpaenoidei,Triglidae,"Lepidotrigla spiloptera","Spotwing gurnard",native,"Malay : Belalang-paruh putih","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Lespi_u1.jpg"", ""Open image"")"
Cypriniformes,Leptobarbidae,"Leptobarbus hoevenii","Hoven's carp",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Lehoe_u4.jpg"", ""Open image"")"
Cypriniformes,Leptobarbidae,"Leptobarbus hosii",,native,,"No picture yet."
Cypriniformes,Leptobarbidae,"Leptobarbus melanotaenia",,native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Lemel_u0.jpg"", ""Open image"")"
Eupercaria/misc,Labridae,"Leptojulis cyanopleura","Shoulder-spot wrasse",native,"Malay : Nuri garis tengah","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Lecya_m1.jpg"", ""Open image"")"
Carangaria/misc,Polynemidae,"Leptomelanosoma indicum","Indian threadfin",native,"Malay : Mancong","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Leind_u1.jpg"", ""Open image"")"
Eupercaria/misc,Labridae,"Leptoscarus vaigiensis","Marbled parrotfish",native,"Malay : Bayan kerapu","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Levai_f1.jpg"", ""Open image"")"
Perciformes/Scorpaenoidei,Synanceiidae,"Leptosynanceia asteroblepa",,native,"English : Mangrove stonefish","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Least_u0.jpg"", ""Open image"")"
Scombriformes,Trichiuridae,"Lepturacanthus savala","Savalai hairtail",native,"Malay : Timah pucuk","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Lesav_u1.jpg"", ""Open image"")"
Eupercaria/misc,Lethrinidae,"Lethrinus amboinensis","Ambon emperor",native,"Malay : Landok Ambon","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Leamb_u8.jpg"", ""Open image"")"
Eupercaria/misc,Lethrinidae,"Lethrinus atkinsoni","Pacific yellowtail emperor",native,"Malay : Landok ekor kuning","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Leatk_u6.jpg"", ""Open image"")"
Eupercaria/misc,Lethrinidae,"Lethrinus erythracanthus","Orange-spotted emperor",native,"Malay : Landok bintik jingga","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Leery_u0.jpg"", ""Open image"")"
Eupercaria/misc,Lethrinidae,"Lethrinus erythropterus","Longfin emperor",native,"Malay : Landok bibir merah","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Leery_u1.jpg"", ""Open image"")"
Eupercaria/misc,Lethrinidae,"Lethrinus genivittatus","Longspine emperor",native,"Malay : Landok sirip bintik","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Legen_u3.jpg"", ""Open image"")"
Eupercaria/misc,Lethrinidae,"Lethrinus harak","Thumbprint emperor",native,"Malay : Landok tanda","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Lehar_u6.jpg"", ""Open image"")"
Eupercaria/misc,Lethrinidae,"Lethrinus lentjan","Pink ear emperor",native,"Malay : Landok calit merah","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Lelen_u7.jpg"", ""Open image"")"
Eupercaria/misc,Lethrinidae,"Lethrinus microdon","Smalltooth emperor",native,"Malay : Landok muncung","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Lemic_ui.jpg"", ""Open image"")"
Eupercaria/misc,Lethrinidae,"Lethrinus nebulosus","Spangled emperor",native,"Malay : Landok sisik bintik","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Leneb_u0.jpg"", ""Open image"")"
Eupercaria/misc,Lethrinidae,"Lethrinus obsoletus","Orange-striped emperor",native,"Malay : Landok kercing","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Leobs_u3.jpg"", ""Open image"")"
Eupercaria/misc,Lethrinidae,"Lethrinus olivaceus","Longface emperor",native,"Malay : Landok ketambak","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Leoli_u6.jpg"", ""Open image"")"
Eupercaria/misc,Lethrinidae,"Lethrinus ornatus","Ornate emperor",native,"Malay : Landok jalur jingga","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Leorn_u5.jpg"", ""Open image"")"
Eupercaria/misc,Lethrinidae,"Lethrinus reticulatus","Red snout emperor",native,"Malay : Landok muncung merah","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Leret_u2.jpg"", ""Open image"")"
Eupercaria/misc,Lethrinidae,"Lethrinus rubrioperculatus","Spotcheek emperor",native,"Malay : Landok tanda merah","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Lerub_u5.jpg"", ""Open image"")"
Eupercaria/misc,Lethrinidae,"Lethrinus semicinctus","Blackblotch emperor",native,"Malay : Landok gertah","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Lesem_u6.jpg"", ""Open image"")"
Eupercaria/misc,Lethrinidae,"Lethrinus variegatus","Slender emperor",native,"Malay : Landok lampai","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Levar_u4.jpg"", ""Open image"")"
Eupercaria/misc,Lethrinidae,"Lethrinus xanthochilus","Yellowlip emperor",native,"Malay : Landok dalu","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Lexan_u2.jpg"", ""Open image"")"
Pleuronectiformes,Soleidae,"Liachirus melanospilos","Carpet sole",native,"Malay : Lidah-corak baji","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Limel_u3.jpg"", ""Open image"")"
Perciformes/Serranoidei,Liopropomatidae,"Liopropoma susumi","Meteor perch",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Lisus_u8.jpg"", ""Open image"")"
Eupercaria/misc,Lutjanidae,"Lipocheilus carnolabrum","Tang's snapper",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Licar_u2.jpg"", ""Open image"")"
Cypriniformes,Cyprinidae,"Lobocheilos bo",,native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Lobo_u1.jpg"", ""Open image"")"
Cypriniformes,Cyprinidae,"Lobocheilos falcifer",,native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/gif/tn_Lohis_u0.gif"", ""Open image"")"
Cypriniformes,Cyprinidae,"Lobocheilos melanotaenia",,native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Lomel_u0.jpg"", ""Open image"")"
Cypriniformes,Cyprinidae,"Lobocheilos ovalis",,native,,"No picture yet."
Cypriniformes,Cyprinidae,"Lobocheilos terminalis",,native,,"No picture yet."
Cypriniformes,Cyprinidae,"Lobocheilos unicornis",,native,,"No picture yet."
Acanthuriformes,Lobotidae,"Lobotes surinamensis",Tripletail,native,"Malay : Patipok","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Losur_u7.jpg"", ""Open image"")"
Lophiiformes,Histiophrynidae,"Lophiocharon lithinostomus","Marble-mouthed frogfish",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Lolit_u4.jpg"", ""Open image"")"
Lophiiformes,Histiophrynidae,"Lophiocharon trisignatus","Three-spot frogfish",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Lotri_m0.jpg"", ""Open image"")"
Carcharhiniformes,Carcharhinidae,"Loxodon macrorhinus","Sliteye shark",native,"Malay : Yu mata lekuk","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Lomac_u0.jpg"", ""Open image"")"
Ovalentaria/misc,Pseudochromidae,"Lubbockichthys multisquamatus","Finescale dottyback",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Lumul_u0.jpg"", ""Open image"")"
Anabantiformes,Osphronemidae,"Luciocephalus pulcher",Pikehead,native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Lupul_u0.jpg"", ""Open image"")"
Cypriniformes,Danionidae,"Luciosoma pellegrinii",,native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Lupel_u0.jpg"", ""Open image"")"
Cypriniformes,Danionidae,"Luciosoma setigerum",,native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/gif/tn_Luset_u0.gif"", ""Open image"")"
Cypriniformes,Danionidae,"Luciosoma spilopleura","Apollo sharkminnow",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/gif/tn_Luspi_u0.gif"", ""Open image"")"
Cypriniformes,Danionidae,"Luciosoma trinema",,native,,"No picture yet."
Eupercaria/misc,Lutjanidae,"Lutjanus argentimaculatus","Mangrove red snapper",native,"Malay : Kakap merah","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Luarg_uk.jpg"", ""Open image"")"
Eupercaria/misc,Lutjanidae,"Lutjanus bengalensis","Bengal snapper",native,"Malay : Kunyit Benggala","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Luben_u4.jpg"", ""Open image"")"
Eupercaria/misc,Lutjanidae,"Lutjanus biguttatus","Twospot banded snapper",native,"Malay : Kunyit saging","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Lubig_u4.jpg"", ""Open image"")"
Eupercaria/misc,Lutjanidae,"Lutjanus bohar","Two-spot red snapper",native,"Malay : Merah bambangan","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Luboh_u0.jpg"", ""Open image"")"
Eupercaria/misc,Lutjanidae,"Lutjanus boutton","Moluccan snapper",native,"Malay : Merah Maluku","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Lubou_u2.jpg"", ""Open image"")"
Eupercaria/misc,Lutjanidae,"Lutjanus carponotatus","Spanish flag snapper",native,"Malay : Kunyit bendera","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Lucar_u6.jpg"", ""Open image"")"
Eupercaria/misc,Lutjanidae,"Lutjanus decussatus","Checkered snapper",native,"Malay : Merah ketambak","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Ludec_u1.jpg"", ""Open image"")"
Eupercaria/misc,Lutjanidae,"Lutjanus ehrenbergii","Blackspot snapper",native,"Malay : Kunyit tompok","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Luehr_u6.jpg"", ""Open image"")"
Eupercaria/misc,Lutjanidae,"Lutjanus erythropterus","Crimson snapper",native,"Malay : Merah pucat","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Luery_u2.jpg"", ""Open image"")"
Eupercaria/misc,Lutjanidae,"Lutjanus fulviflamma","Dory snapper",native,"Malay : Kunyit dori","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Luful_ue.jpg"", ""Open image"")"
Eupercaria/misc,Lutjanidae,"Lutjanus fulvus","Blacktail snapper",native,"Malay : Jenahak ekor hitam","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Luful_u3.jpg"", ""Open image"")"
Eupercaria/misc,Lutjanidae,"Lutjanus gibbus","Humpback red snapper",native,"Malay : Merah barahan","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Lugib_u1.jpg"", ""Open image"")"
Eupercaria/misc,Lutjanidae,"Lutjanus johnii","John's snapper",native,"Malay : Jenahak tanda","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Lujoh_u0.jpg"", ""Open image"")"
Eupercaria/misc,Lutjanidae,"Lutjanus kasmira","Common bluestripe snapper",native,"Malay : Kunyit jalur biru","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Lukas_ud.jpg"", ""Open image"")"
Eupercaria/misc,Lutjanidae,"Lutjanus lemniscatus","Yellowstreaked snapper",native,"Malay : Jenahak jalur kuning","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Lulem_u7.jpg"", ""Open image"")"
Eupercaria/misc,Lutjanidae,"Lutjanus lunulatus","Lunartail snapper",native,"Malay : Merah ekor sabit","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Lulun_u2.jpg"", ""Open image"")"
Eupercaria/misc,Lutjanidae,"Lutjanus lutjanus","Bigeye snapper",native,"Malay : Kunyit kunyit","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Lulut_u7.jpg"", ""Open image"")"
Eupercaria/misc,Lutjanidae,"Lutjanus malabaricus","Malabar blood snapper",native,"Malay : Merah mata hitam","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Lumal_uc.jpg"", ""Open image"")"
Eupercaria/misc,Lutjanidae,"Lutjanus maxweberi","Pygmy snapper",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Lumax_u0.jpg"", ""Open image"")"
Eupercaria/misc,Lutjanidae,"Lutjanus monostigma","One-spot snapper",native,"Malay : Jenahak bercarik","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Lumon_u5.jpg"", ""Open image"")"
Eupercaria/misc,Lutjanidae,"Lutjanus quinquelineatus","Five-lined snapper",native,"Malay : Kunyit lima garis","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Luqui_u0.jpg"", ""Open image"")"
Eupercaria/misc,Lutjanidae,"Lutjanus rivulatus","Blubberlip snapper",native,"Malay : Jenahak konai","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Luriv_u8.jpg"", ""Open image"")"
Eupercaria/misc,Lutjanidae,"Lutjanus russellii","Russell's snapper",native,"Malay : Merah tanda","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Lurus_ue.jpg"", ""Open image"")"
Eupercaria/misc,Lutjanidae,"Lutjanus sebae","Emperor red snapper",native,"Malay : Merah coreng","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Luseb_uc.jpg"", ""Open image"")"
Eupercaria/misc,Lutjanidae,"Lutjanus vitta","Brownstripe red snapper",native,"Malay : Kunyit remong","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Luvit_u4.jpg"", ""Open image"")"
Eupercaria/misc,Lutjanidae,"Lutjanus xanthopinnis","Yellowfin snapper",native,"Malay : Kunyit Madras","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Lumad_u2.jpg"", ""Open image"")"
Clupeiformes,Engraulidae,"Lycothrissa crocodilus","Sabretoothed thryssa",native,"Malay : Empirang sungai","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/gif/tn_Lycro_u0.gif"", ""Open image"")"
Eupercaria/misc,Lutjanidae,"Macolor macularis","Midnight snapper",native,"Malay : Makolar biru","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Mamac_u1.jpg"", ""Open image"")"
