Order,Family,Species,"FishBase name",Occurrence,"Name(s) in Territory",Pictures
Tetraodontiformes,Tetraodontidae,"Auriglobus remotus",,native,,"No picture yet."
Scombriformes,Scombridae,"Auxis rochei","Bullet tuna",native,"Malay : Aya peluru","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Auroc_u3.jpg"", ""Open image"")"
Scombriformes,Scombridae,"Auxis thazard","Frigate tuna",native,"Malay : Aya selasih","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Autha_u1.jpg"", ""Open image"")"
Siluriformes,Sisoridae,"Bagarius lica",,native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Bayar_u8.jpg"", ""Open image"")"
Siluriformes,Bagridae,"Bagrichthys hypselopterus","Blacklancer catfish",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/gif/tn_Bahyp_m0.gif"", ""Open image"")"
Siluriformes,Bagridae,"Bagrichthys macracanthus","Black lancer catfish",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Bamac_u3.jpg"", ""Open image"")"
Siluriformes,Bagridae,"Bagrichthys macropterus","False black lancer",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/gif/tn_Bamac_u4.gif"", ""Open image"")"
Siluriformes,Bagridae,"Bagroides melapterus",,native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Bamel_u7.jpg"", ""Open image"")"
Eupercaria/misc,Sciaenidae,"Bahaba polykladiskos","Spine bahaba",native,"Malay : Gelama jarum","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Bapol_u2.jpg"", ""Open image"")"
Cypriniformes,Cyprinidae,"Balantiocheilos melanopterus","Tricolor sharkminnow",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Bamel_u6.jpg"", ""Open image"")"
Tetraodontiformes,Balistidae,"Balistapus undulatus","Orange-lined triggerfish",native,"Malay : Jebong kelar jingga","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Baund_u2.jpg"", ""Open image"")"
Cypriniformes,Balitoridae,"Balitoropsis ophiolepis",,native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/gif/tn_Hooph_u0.gif"", ""Open image"")"
Cypriniformes,Balitoridae,"Balitoropsis zollingeri",,native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/gif/tn_Hozol_u0.gif"", ""Open image"")"
Cypriniformes,Cyprinidae,"Barbichthys laevis","Sucker barb",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Banit_u0.jpg"", ""Open image"")"
Cypriniformes,Cyprinidae,"Barbodes banksi",,native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Puban_u1.jpg"", ""Open image"")"
